[INFO ] [2022-05-12 16:39:44,227] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-13 11:10:38,414] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-13 11:10:38,821] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-13 11:10:38,939] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-13 11:10:40,162] TC_01_Register_With_Valid_User_Name_Password - Step 9: Click on 'Register' field 
[INFO ] [2022-05-13 11:10:40,230]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-13 11:10:40,612] Close browser
[INFO ] [2022-05-13 11:10:40,613] OS name = windows 10
[INFO ] [2022-05-13 11:10:40,613] Driver instance name = windows 10
[INFO ] [2022-05-13 11:12:58,638] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-13 11:13:09,971] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-13 11:13:11,629] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-13 11:13:12,562] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-13 11:13:12,663] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-13 11:13:13,053] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-13 11:13:13,495] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-13 11:13:13,924] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-13 11:13:14,018] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-13 11:13:15,006] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-13 11:13:15,277]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-13 11:13:15,534] Close browser
[INFO ] [2022-05-13 11:13:15,534] OS name = windows 10
[INFO ] [2022-05-13 11:13:15,534] Driver instance name = windows 10
[INFO ] [2022-05-13 11:17:56,965] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-13 11:18:17,404] Browser name and version is: msedge 101.0.1210.39
[INFO ] [2022-05-13 11:18:17,616] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-13 11:18:19,547] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-13 11:18:19,846] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-13 11:18:20,401] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-13 11:18:20,846] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-13 11:18:21,347] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-13 11:18:21,847] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-13 11:18:22,640] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-13 11:18:23,790] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-13 11:18:23,871]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-13 11:18:24,188] Close browser
[INFO ] [2022-05-13 11:18:24,188] OS name = windows 10
[INFO ] [2022-05-13 11:18:24,188] Driver instance name = windows 10
[INFO ] [2022-05-17 10:18:24,747] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-17 10:18:34,743] Browser name and version is: chrome 101.0.4951.67
[INFO ] [2022-05-17 10:18:34,892] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-17 10:18:35,624] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-17 10:18:35,708] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-17 10:18:35,868] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-17 10:18:36,079] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-17 10:18:36,256] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-17 10:18:36,427] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-17 10:18:36,572] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-17 10:18:37,637] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-17 10:18:37,693]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-17 10:18:37,856] Close browser
[INFO ] [2022-05-17 10:18:37,858] OS name = windows 10
[INFO ] [2022-05-17 10:18:37,859] Driver instance name = windows 10
[INFO ] [2022-05-17 14:56:54,593] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-17 14:57:01,564] Browser name and version is: chrome 101.0.4951.67
[INFO ] [2022-05-17 14:57:01,761] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-17 14:57:02,584] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-17 14:57:02,674] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-17 14:57:02,814] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-17 14:57:02,939] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-17 14:57:03,085] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-17 14:57:03,222] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-17 14:57:03,359] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-17 14:57:04,323] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-17 14:57:04,380]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-17 14:57:04,519] Close browser
[INFO ] [2022-05-17 14:57:04,519] OS name = windows 10
[INFO ] [2022-05-17 14:57:04,520] Driver instance name = windows 10
[INFO ] [2022-05-18 17:38:59,289] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-18 17:39:08,337] Close browser
[INFO ] [2022-05-18 17:39:08,338] OS name = windows 10
[INFO ] [2022-05-18 17:39:08,338] 
[INFO ] [2022-05-19 10:19:40,027] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 10:20:09,085] Close browser
[INFO ] [2022-05-19 10:20:09,086] OS name = windows 10
[INFO ] [2022-05-19 10:20:09,086] 
[INFO ] [2022-05-19 10:23:31,094] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 10:24:00,692] Close browser
[INFO ] [2022-05-19 10:24:00,697] OS name = windows 10
[INFO ] [2022-05-19 10:24:00,697] 
[INFO ] [2022-05-19 10:28:09,240] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 10:28:21,837] Close browser
[INFO ] [2022-05-19 10:28:21,837] OS name = windows 10
[INFO ] [2022-05-19 10:28:21,838] 
[INFO ] [2022-05-19 10:29:16,298] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 10:29:30,094] Close browser
[INFO ] [2022-05-19 10:29:30,094] OS name = windows 10
[INFO ] [2022-05-19 10:29:30,095] 
[INFO ] [2022-05-19 10:39:06,598] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 10:39:11,285] Close browser
[INFO ] [2022-05-19 10:39:11,286] OS name = windows 10
[INFO ] [2022-05-19 10:39:11,286] 
[INFO ] [2022-05-19 10:54:42,344] Close browser
[INFO ] [2022-05-19 10:54:42,345] OS name = windows 10
[INFO ] [2022-05-19 10:54:42,346] 
[INFO ] [2022-05-19 10:56:17,176] Close browser
[INFO ] [2022-05-19 10:56:17,177] OS name = windows 10
[INFO ] [2022-05-19 10:56:17,177] 
[INFO ] [2022-05-19 10:56:47,078] Close browser
[INFO ] [2022-05-19 10:56:47,079] OS name = windows 10
[INFO ] [2022-05-19 10:56:47,079] 
[INFO ] [2022-05-19 11:07:40,525] Close browser
[INFO ] [2022-05-19 11:07:40,526] OS name = windows 10
[INFO ] [2022-05-19 11:07:40,526] 
[INFO ] [2022-05-19 11:08:10,076] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:08:19,828] Close browser
[INFO ] [2022-05-19 11:08:19,830] OS name = windows 10
[INFO ] [2022-05-19 11:08:19,830] 
[INFO ] [2022-05-19 11:12:43,341] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:12:51,744] Close browser
[INFO ] [2022-05-19 11:12:51,745] OS name = windows 10
[INFO ] [2022-05-19 11:12:51,745] 
[INFO ] [2022-05-19 11:22:03,659] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:22:11,852] Close browser
[INFO ] [2022-05-19 11:22:11,853] OS name = windows 10
[INFO ] [2022-05-19 11:22:11,853] 
[INFO ] [2022-05-19 11:23:20,694] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:23:28,210] Close browser
[INFO ] [2022-05-19 11:23:28,210] OS name = windows 10
[INFO ] [2022-05-19 11:23:28,210] 
[INFO ] [2022-05-19 11:24:14,713] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:24:22,955] Close browser
[INFO ] [2022-05-19 11:24:22,956] OS name = windows 10
[INFO ] [2022-05-19 11:24:22,956] 
[INFO ] [2022-05-19 11:25:15,721] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:25:24,250] Close browser
[INFO ] [2022-05-19 11:25:24,250] OS name = windows 10
[INFO ] [2022-05-19 11:25:24,250] 
[INFO ] [2022-05-19 11:27:36,877] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:27:47,635] Browser name and version is: chrome 94.0.4606.61
[INFO ] [2022-05-19 11:27:47,717] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:27:48,380] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:27:48,518] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:27:48,730] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:27:48,906] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:27:49,087] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:27:49,248] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:27:49,419] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:28:00,333] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:28:00,426]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:28:00,564] Close browser
[INFO ] [2022-05-19 11:28:00,564] OS name = windows 10
[INFO ] [2022-05-19 11:28:00,564] Driver instance name = windows 10
[INFO ] [2022-05-19 11:28:45,249] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:28:54,535] Browser name and version is: chrome 94.0.4606.61
[INFO ] [2022-05-19 11:28:54,624] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:28:55,269] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:28:55,391] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:28:55,565] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:28:55,731] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:28:55,906] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:28:56,087] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:28:56,265] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:29:07,261] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:29:07,343]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:29:07,507] Close browser
[INFO ] [2022-05-19 11:29:07,508] OS name = windows 10
[INFO ] [2022-05-19 11:29:07,509] Driver instance name = windows 10
[INFO ] [2022-05-19 11:29:30,817] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:29:43,164] Browser name and version is: firefox 92.0.1
[INFO ] [2022-05-19 11:29:43,277] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:29:44,046] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:29:44,353] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:29:44,470] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:29:44,558] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:29:44,669] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:29:44,757] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:29:44,842] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:29:50,727] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:29:50,870]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:29:51,277] Close browser
[INFO ] [2022-05-19 11:29:51,279] OS name = windows 10
[INFO ] [2022-05-19 11:29:51,280] Driver instance name = windows 10
[INFO ] [2022-05-19 11:40:07,348] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:40:14,328] Browser name and version is: chrome 101.0.4951.67
[INFO ] [2022-05-19 11:40:14,436] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:40:15,099] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:40:15,188] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:40:15,330] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:40:15,467] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:40:15,609] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:40:15,745] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:40:15,880] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:40:21,768] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:40:21,822]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:40:22,101] Close browser
[INFO ] [2022-05-19 11:40:22,101] OS name = windows 10
[INFO ] [2022-05-19 11:40:22,102] Driver instance name = windows 10
[INFO ] [2022-05-19 11:41:50,461] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:42:03,042] Browser name and version is: firefox 92.0.1
[INFO ] [2022-05-19 11:42:03,183] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:42:03,909] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:42:04,206] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:42:04,329] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:42:04,445] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:42:04,568] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:42:04,674] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:42:04,763] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:42:10,684] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:42:10,751]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:42:10,927] Close browser
[INFO ] [2022-05-19 11:42:10,928] OS name = windows 10
[INFO ] [2022-05-19 11:42:10,928] Driver instance name = windows 10
[INFO ] [2022-05-19 11:51:36,951] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:51:44,510] Close browser
[INFO ] [2022-05-19 11:51:44,511] OS name = windows 10
[INFO ] [2022-05-19 11:51:44,511] 
[INFO ] [2022-05-19 11:53:18,096] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:53:27,583] Browser name and version is: chrome 94.0.4606.61
[INFO ] [2022-05-19 11:53:27,677] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:53:28,340] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:53:28,468] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:53:28,643] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:53:28,810] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:53:28,996] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:53:29,171] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:53:29,344] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:53:35,241] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:53:35,329]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:53:35,465] Close browser
[INFO ] [2022-05-19 11:53:35,465] OS name = windows 10
[INFO ] [2022-05-19 11:53:35,465] Driver instance name = windows 10
[INFO ] [2022-05-19 11:54:02,132] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:54:14,572] Browser name and version is: chrome 94.0.4606.61
[INFO ] [2022-05-19 11:54:14,666] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:54:15,325] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:54:15,450] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:54:15,646] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:54:15,845] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:54:16,025] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:54:16,203] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:54:16,387] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:54:22,282] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:54:22,392]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:54:22,523] Close browser
[INFO ] [2022-05-19 11:54:22,523] OS name = windows 10
[INFO ] [2022-05-19 11:54:22,523] Driver instance name = windows 10
[INFO ] [2022-05-19 11:54:49,404] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:55:01,292] Browser name and version is: chrome 96.0.4664.45
[INFO ] [2022-05-19 11:55:01,451] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:55:02,159] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:55:02,345] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:55:02,552] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:55:02,787] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:55:03,007] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:55:03,286] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:55:03,514] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:55:11,137] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:55:11,226]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:55:11,357] Close browser
[INFO ] [2022-05-19 11:55:11,357] OS name = windows 10
[INFO ] [2022-05-19 11:55:11,358] Driver instance name = windows 10
[INFO ] [2022-05-19 11:56:49,951] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-19 11:57:00,937] Browser name and version is: chrome 96.0.4664.45
[INFO ] [2022-05-19 11:57:01,056] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-19 11:57:01,751] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-19 11:57:01,898] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-19 11:57:02,122] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-19 11:57:02,327] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-19 11:57:02,588] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-19 11:57:02,809] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-19 11:57:03,012] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-19 11:57:08,944] TC_01_Register_With_Valid_User_Name_Password - Step 9: Verify register successful msg is displayed 
[INFO ] [2022-05-19 11:57:09,035]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-19 11:57:09,194] Close browser
